episode_id,seed,my_bank,opp_bank,my_seat,won,rating_after
94599066,875752785,53013,31466,1,1,708
94600726,726591573,77242,35263,1,1,815
94602405,1757953633,105643,58726,0,1,936
94604078,155312745,103448,106525,0,0,829
94605767,398981844,82550,79485,0,1,902
94607440,1100692622,83392,88828,1,0,825
94609123,1688155045,65965,78113,1,0,731
94610809,287731668,52159,54451,0,0,654
94612507,978665011,72101,40580,0,1,699
94614193,1597875073,92650,62665,1,1,729
94615877,862835471,54082,40603,1,1,760
94617557,459442310,77790,90476,0,0,730
94619251,626893175,71014,61056,1,1,761
94620943,1680934497,103154,97174,1,1,790
94622619,1945879011,110822,90228,1,1,808
94624301,675978924,93104,105464,0,0,783
94625990,1502290766,75530,98180,0,0,763
94627680,1190097383,73661,93410,0,0,740
94629381,198311567,133829,91108,1,1,758
94631065,1024815949,68803,72873,0,0,743
94632749,1307734651,73994,97382,0,0,732
94634434,1238043995,68263,45649,1,1,746
94636114,1343583466,64537,67612,1,0,732
94637800,1402333156,76490,16139,0,1,741
94639485,2012889299,58131,61257,0,0,725
94641174,448376084,45015,38969,0,1,738
94642851,1777357485,90645,60217,1,1,752
94644531,1315449171,68864,50957,0,1,762
94646220,104280619,73081,90584,1,0,750
94656275,585313934,85821,87318,0,0,742
94657749,1234219364,71438,61407,1,1,751
94662783,1824791791,63828,79403,0,0,745
94696724,2058055305,102030,101328,0,1,757
94706445,203094492,75897,69021,0,1,766
94753823,2027144037,63919,68962,1,0,758
94778727,1329793397,106258,91001,0,1,767
94808448,1154616760,70902,88053,1,0,758
94904376,1067360390,52519,50970,1,1,766
94913281,795615156,107280,121030,1,0,759
94945106,1616727239,53666,132794,0,0,755
94995576,66566313,71601,80378,0,0,748
95123230,1682237754,58658,119382,0,0,749
95123514,642808112,81719,72680,0,1,756
95239807,53664324,46820,62508,0,0,742
95342505,1059738437,101374,72463,1,1,748
